Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
2        3.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
3        7.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
4        1.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
5        3.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
6        6.30000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
7        1.27000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
8        2.27000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
9        3.27000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
10       4.27000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
