      TIME              V(IN)            V(OUT)            I(IIN)           I(R_I2V)        I(R_OUT_LOAD)       I(V_VDD)     
   0.00000000e+00   -1.00000000e-01    0.00000000e+00   -3.00000000e-05   -3.00000000e-05    0.00000000e+00    0.00000000e+00
   2.00000000e-12   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   4.00000000e-12   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   6.00000000e-12   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   8.00000000e-12   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   1.00000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   1.20000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   1.40000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   1.60000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   1.80000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   2.00000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   2.20000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   2.40000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   2.60000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   2.80000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   3.00000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   3.20000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
   3.40000000e-11   -9.99999997e-02   -2.20134231e-07   -3.00000000e-05   -2.99999999e-05   -2.20134231e-07    0.00000000e+00
